Unnamed: 0, Calories, Fat, Carb. (g), Fiber (g), Protein (g)
Chicken Artichoke on Ancient Grain Flatbread,510,27000.0 mg,37,5,24
Chicken BLT Salad Sandwich,470,25000.0 mg,35,3,21
Egg Salad Sandwich,480,27000.0 mg,42,7,16
Homestyle Chicken & Double-Smoked Bacon,480,17000.0 mg,57,3,23
Italian-Style Ham & Spicy Salami,480,20000.0 mg,49,3,22
Lentils & Vegetable Protein Bowl with Brown Rice,650,29000.0 mg,80,21,23
Roasted Tomato & Mozzarella Panini,420,18000.0 mg,47,3,11
Turkey & Havarti Sandwich,460,21000.0 mg,31,2,29
Turkey Pesto Panini,560,23000.0 mg,55,3,34
Berry Trio Yogurt,240,2500.0 mg,39,3,14
Fresh Blueberries and Honey Greek Yogurt Parfait,240,2500.0 mg,42,2,14
Justin's Chocolate Hazelnut Butter,180,14000.0 mg,12,3,4
Justin's Classic Almond Butter,190,18000.0 mg,6,3,7
Lemon Chiffon Yogurt,340,13000.0 mg,38,0,18
Organic Avocado (Spread),90,8000.0 mg,5,4,1
Seasonal Fruit Blend,90,0.0 mg,24,4,1
